Product_ID,Product_Name,Brand,Product_Type,Main_Ingredient,Price(₹),Rating,City,Avg_Temperature(°C),Humidity(%),Climate,Skin_Type,Skin_Concern,Review_Count,Packaging_Type,Gender_Target
P186,Shea Butter Moisturizer,Wow Skin Science,Moisturizer,Shea Butter,434,4.3,Mumbai,28,55,Moderate,Combination,Acne,154,Jar,Women
P187,Shea Butter Moisturizer,Ponds,Moisturizer,Shea Butter,613,3.8,Kochi,32,52,Moderate,Oily,Sensitivity,167,Tube,Men
P188,Aloe Vera Serum,Simple,Serum,Aloe Vera,566,3.8,Hyderabad,26,49,Moderate,Sensitive,Sensitivity,498,Jar,Men
P189,Shea Butter Toner,L’Oréal,Toner,Shea Butter,1460,4.8,Bengaluru,33,77,Humid,All,Aging,189,Dropper,Men
P190,Vitamin C Gel,The Face Shop,Gel,Vitamin C,1338,4.5,Hyderabad,26,61,Moderate,Normal,Acne,376,Dropper,Unisex
P191,Tea Tree Oil Cream,Minimalist,Cream,Tea Tree Oil,801,3.8,Kolkata,30,36,Dry,Normal,Acne,465,Pump,Men
P192,Niacinamide Moisturizer,L’Oréal,Moisturizer,Niacinamide,1404,3.6,Jaipur,30,35,Dry,Combination,Dryness,125,Jar,Men
P193,Green Tea Toner,Wow Skin Science,Toner,Green Tea,711,4.3,Delhi,33,74,Humid,All,Sun Damage,332,Pump,Unisex
P194,Vitamin E Lotion,Body Shop,Lotion,Vitamin E,549,3.5,Bengaluru,26,85,Humid,Oily,Acne,474,Pump,All
P195,AHA/BHA Toner,Wow Skin Science,Toner,AHA/BHA,832,4.1,Chennai,31,47,Moderate,Normal,Sun Damage,418,Dropper,Unisex
P196,Aloe Vera Sunscreen,Ponds,Sunscreen,Aloe Vera,1119,3.9,Hyderabad,27,75,Humid,All,Pigmentation,257,Bottle,Women
P197,AHA/BHA Serum,Simple,Serum,AHA/BHA,611,4.1,Kochi,31,50,Moderate,Dry,Sun Damage,475,Dropper,Men
P198,Niacinamide Moisturizer,Dot & Key,Moisturizer,Niacinamide,1060,3.8,Kolkata,25,41,Moderate,All,Sun Damage,328,Dropper,Men
P199,AHA/BHA Toner,Derma Co,Toner,AHA/BHA,1294,4.0,Ahmedabad,30,51,Moderate,Normal,Acne,483,Pump,Men
P200,Zinc Oxide Face Wash,Simple,Face Wash,Zinc Oxide,1073,3.5,Pune,32,72,Humid,All,Pigmentation,119,Jar,Women
